11;Seyhan
21;Ceyhan
31;Feke
41;Karaisalý
51;Karataþ
61;Kozan
71;Pozantý
81;Saimbeyli
91;Tufanbeyli
101;Yumurtalýk
111;Yüreðir
121;Aladað
131;Ýmamoðlu
141;Sarýçam
151;Çukurova
162;Adýyaman Merkez
172;Besni
182;Çelikhan
192;Gerger
202;Gölbaþý / Adýyaman
212;Kahta
222;Samsat
232;Sincik
242;Tut
253;Afyonkarahisar Merkez
263;Bolvadin
273;Çay
283;Dazkýrý
293;Dinar
303;Emirdað
313;Ýhsaniye
323;Sandýklý
333;Sinanpaþa
343;Sultandaðý
353;Þuhut
363;Baþmakçý
373;Bayat / Afyonkarahisar
383;Ýscehisar
393;Çobanlar
403;Evciler
413;Hocalar
423;Kýzýlören
434;Aðrý Merkez
444;Diyadin
454;Doðubayazýt
464;Eleþkirt
474;Hamur
484;Patnos
494;Taþlýçay
504;Tutak
515;Amasya Merkez
525;Göynücek
535;Gümüþhacýköy
545;Merzifon
555;Suluova
565;Taþova
575;Hamamözü
586;Altýndað
596;Ayaþ
606;Bala
616;Beypazarý
626;Çamlýdere
636;Çankaya
646;Çubuk
656;Elmadað
666;Güdül
676;Haymana
686;Kalecik
696;Kýzýlcahamam
706;Nallýhan
716;Polatlý
726;Þereflikoçhisar
736;Yenimahalle
746;Gölbaþý / Ankara
756;Keçiören
766;Mamak
776;Sincan
786;Kazan
796;Akyurt
806;Etimesgut
816;Evren
826;Pursaklar
837;Akseki
847;Alanya
857;Elmalý
867;Finike
877;Gazipaþa
887;Gündoðmuþ
897;Kaþ
907;Korkuteli
917;Kumluca
927;Manavgat
937;Serik
947;Demre
957;Ýbradý
967;Kemer / Antalya
977;Aksu / Antalya
987;Döþemealtý
997;Kepez
1007;Konyaaltý
1017;Muratpaþa
1028;Ardanuç
1038;Arhavi
1048;Artvin Merkez
1058;Borçka
1068;Hopa
1078;Þavþat
1088;Yusufeli
1098;Murgul
1109;Bozdoðan
1119;Çine
1129;Germencik
1139;Karacasu
1149;Koçarlý
1159;Kuþadasý
1169;Kuyucak
1179;Nazilli
1189;Söke
1199;Sultanhisar
1209;Yenipazar / Aydýn
1219;Buharkent
1229;Ýncirliova
1239;Karpuzlu
1249;Köþk
1259;Didim
1269;Efeler
12710;Ayvalýk
12810;Balya
12910;Bandýrma
13010;Bigadiç
13110;Burhaniye
13210;Dursunbey
13310;Edremit / Balýkesir
13410;Erdek
13510;Gönen / Balýkesir
13610;Havran
13710;Ývrindi
13810;Kepsut
13910;Manyas
14010;Savaþtepe
14110;Sýndýrgý
14210;Susurluk
14310;Marmara
14410;Gömeç
14510;Altýeylül
14610;Karesi
14711;Bilecik Merkez
14811;Bozüyük
14911;Gölpazarý
15011;Osmaneli
15111;Pazaryeri
15211;Söðüt
15311;Yenipazar / Bilecik
15411;Ýnhisar
15512;Bingöl Merkez
15612;Genç
15712;Karlýova
15812;Kiðý
15912;Solhan
16012;Adaklý
16112;Yayladere
16212;Yedisu
16313;Adilcevaz
16413;Ahlat
16513;Bitlis Merkez
16613;Hizan
16713;Mutki
16813;Tatvan
16913;Güroymak
17014;Bolu Merkez
17114;Gerede
17214;Göynük
17314;Kýbrýscýk
17414;Mengen
17514;Mudurnu
17614;Seben
17714;Dörtdivan
17814;Yeniçaða
17915;Aðlasun
18015;Bucak
18115;Burdur Merkez
18215;Gölhisar
18315;Tefenni
18415;Yeþilova
18515;Karamanlý
18615;Kemer / Burdur
18715;Altýnyayla / Burdur
18815;Çavdýr
18915;Çeltikçi
19016;Gemlik
19116;Ýnegöl
19216;Ýznik
19316;Karacabey
19416;Keles
19516;Mudanya
19616;Mustafakemalpaþa
19716;Orhaneli
19816;Orhangazi
19916;Yeniþehir / Bursa
20016;Büyükorhan
20116;Harmancýk
20216;Nilüfer
20316;Osmangazi
20416;Yýldýrým
20516;Gürsu
20616;Kestel
20717;Ayvacýk / Çanakkale
20817;Bayramiç
20917;Biga
21017;Bozcaada
21117;Çan
21217;Çanakkale Merkez
21317;Eceabat
21417;Ezine
21517;Gelibolu
21617;Gökçeada
21717;Lapseki
21817;Yenice / Çanakkale
21918;Çankýrý Merkez
22018;Çerkeþ
22118;Eldivan
22218;Ilgaz
22318;Kurþunlu
22418;Orta
22518;Þabanözü
22618;Yapraklý
22718;Atkaracalar
22818;Kýzýlýrmak
22918;Bayramören
23018;Korgun
23119;Alaca
23219;Bayat / Çorum
23319;Çorum Merkez
23419;Ýskilip
23519;Kargý
23619;Mecitözü
23719;Ortaköy / Çorum
23819;Osmancýk
23919;Sungurlu
24019;Boðazkale
24119;Uðurludað
24219;Dodurga
24319;Laçin
24419;Oðuzlar
24520;Acýpayam
24620;Buldan
24720;Çal
24820;Çameli
24920;Çardak
25020;Çivril
25120;Güney
25220;Kale / Denizli
25320;Sarayköy
25420;Tavas
25520;Babadað
25620;Bekilli
25720;Honaz
25820;Serinhisar
25920;Pamukkale
26020;Baklan
26120;Beyaðaç
26220;Bozkurt / Denizli
26320;Merkezefendi
26421;Bismil
26521;Çermik
26621;Çýnar
26721;Çüngüþ
26821;Dicle
26921;Ergani
27021;Hani
27121;Hazro
27221;Kulp
27321;Lice
27421;Silvan
27521;Eðil
27621;Kocaköy
27721;Baðlar
27821;Kayapýnar
27921;Sur
28021;Yeniþehir / Diyarbakýr
28122;Edirne Merkez
28222;Enez
28322;Havsa
28422;Ýpsala
28522;Keþan
28622;Lalapaþa
28722;Meriç
28822;Uzunköprü
28922;Süloðlu
29023;Aðýn
29123;Baskil
29223;Elazýð Merkez
29323;Karakoçan
29423;Keban
29523;Maden
29623;Palu
29723;Sivrice
29823;Arýcak
29923;Kovancýlar
30023;Alacakaya
30124;Çayýrlý
30224;Erzincan Merkez
30324;Ýliç
30424;Kemah
30524;Kemaliye
30624;Refahiye
30724;Tercan
30824;Üzümlü
30924;Otlukbeli
31025;Aþkale
31125;Çat
31225;Hýnýs
31325;Horasan
31425;Ýspir
31525;Karayazý
31625;Narman
31725;Oltu
31825;Olur
31925;Pasinler
32025;Þenkaya
32125;Tekman
32225;Tortum
32325;Karaçoban
